review,sentiment
"This is a great film. From reading other reviews, I can see that I'm not the only one who shed a tear. Tamilyn Tomita acted with such skill and conviction, she made the ending heartfelt and memorable. In the hands of a lesser actress, her last scene would have seemed trite and corny. One would never guess this film was done on a tight, limited budget. The cinematography is gorgeous and there are a number of big name actors. The script is so wonderful, I can see why they all wanted to be in it. If you watch the long, long list of credits at the end, you'll see that half of Hawaii pitched in to make this film happen, and for good reason. The soundtrack (available on CD) is absolutely beautiful and sets the mood throughout the film. My only ""complaint"" is that I almost didn't want the film to end.",positive
"This movie was great. It had everything a true action fan could want. Plenty of people getting shot and/or maimed, minimal romance involving sex, a hero that can be identified with, violence at many intervals instead of pointless plot storing up just one scene at the end, and villains that are just asking for it. Bronson appears to be at his lowest level of tolerancy in this film and it shows. Ed Lauter makes a great cop and was seamlessly worked into Bronson's plot without stealing his spotlight. The movie doesn't involve a plot so boring or over-consuming that you watch this film once and never again. Rather, you want to see Kersey in action and the storyline just juices it up. This is great stuff.",positive
"Jack Frost is Really a Cool Movie. I Mean....Its Funny. Its Violent. and Very Enjoyable. Most People Say that it Is B Rated, But That Couldn't be Farther from the truth. It has Great Special Effects and Good Acting. The Only Weird thing is of Course, The Killer Snowman. I Think this Movie was Actually one of The Best Films of the Late-Nineties. Most Films these Days lack the Criteria of A Clive Barker Master Piece. That is, Be Original and Give the Viewer What they Do not Expect. Jack Frost is Very Cool. 10 out of 10. Grade: A+. Ed Also Recommends The Movie Uncle Sam to Fans of Jack Frost.",positive
"The movie had an interesting surprise. Somewhat psychologically gripping. And the makers could have ended it tastefully without making it just another of a rash of movies put out by Hollywood promoting homosexuality and/or other sexual deviances. This could have ended with a ""pay-off"", but there were other motives behind the pen. What torques me off is that the mud slung in your face AFTER you've seen the whole movie. Like the disappointing ""The Talented Mr. Ripley"". Yeah sure, I'm just another puritan. This gay content tarnished the whole film. I wouldn't positively judge a movie for artistic or entertainment value if its sole purpose was to promote an ulterior political motivation, more so for this.",negative
"I went to this movie expecting a concise movie relating the effect the Son of Sam had on the society. I didn't expect Spike Lee to force-feed me more garbage on racial tension, mob-justice, or the inability of the common citizen to make a choice under pressure by peers. Lee has presented an extreme opinion.<br /><br />The entire movie could have been more effective if in a 90-min format with more focus, less tangential sub-plots.<br /><br />Don't even bother renting the video unless you passionately enjoy Spike Lee; in such a case, the theatre is worth it. This is not an escapist movie.",negative
"I'm going to have to disagree with the previous comment and side with Maltin on this one. This is a second rate, excessively vicious Western that creaks and groans trying to put across its central theme of the Wild West being tamed and kicked aside by the steady march of time. It would like to be in the tradition of ""Butch Cassidy and the Sundance Kid"", but lacks that film's poignancy and charm. Andrew McLaglen's direction is limp, and the final 30 minutes or so are a real botch, with some incomprehensible strategy on the part of heroes Charlton Heston and Chris Mitchum. (Someone give me a holler if you can explain to me why they set that hillside on fire.) There was something callous about the whole treatment of the rape scene, and the woman's reaction afterwards certainly did not ring true. Coburn is plenty nasty as the half breed escaped convict out for revenge, but all of his fellow escapees are underdeveloped (they're like bowling pins to be knocked down one by one as the story lurches forward). Michael Parks gives one of his typically shifty, lethargic, mumbling performances, but in this case it was appropriate as his modern style sheriff symbolizes the complacency that technological progress can bring about.",negative
"I remember this movie when i was 13 (seems a lot of reviews are saying the same thing AGE 13!) with a group of school buddies. We all wanted to see Billy Crystal in his first movie, and fell for the typical commercial ads telling us this was a great comedy. We suffered through about 45 minutes of it, and all agreed to leave the theater. It was grotesque & tasteless, and a far cry from the ability Billy Crystal had to make us laugh, we were not laughing. I stumbled upon this review by accident, and decided to register just to tell the rest of the world what a rot-gut waste of film this was, now if you rent this, you deserve what you get, YOU'VE BEEN WARNED!!",negative
"I've got to say that I'm not a massive fan of Troma films. Granted, I've only seen three of them (or four including this one), but two (Blood Sucking Freaks and Mothers' Day) are widely reputed to be the best, which leads me to believe that all the others aren't worth seeing. That would certainly seem to be the case with Graduation Day, which is a Troma take on the over-popular eighties slasher. While the film is never particularly bad (given the type of film), it's never particularly good either; and by the end, all I could think about was 'why did I bother watching this?'. Anyway, the plot sees some girl die on a race track, and shortly thereafter; more people start dying. Naturally, there are a few possible suspects; but it's hard to really care about anything that happens. Of course, in slasher terms; it's the gore that is most important, and given Troma's track record where the red stuff is concerned, I was expecting buckets of it. There are some decent kill scenes, and some of them are gory; but it's never very shocking, which really just makes this another dreary slasher based on a celebratory event on the American calendar. It's worth noting that there's a small role in this film for sleaze queen Linnea Quigley, but the rest of the cast aren't worth mentioning. The direction, plot and its execution are all very mundane; and I will say that unless you're a big Troma fan or someone that wants to track down every slasher ever made; don't bother with this film.",negative
"Conclusion: very, but very, very boring, yet I watched till the end, hoping for some upside-down effect, but the end was worse, because it was nothing. The old black&white game didn't helped at all, it usually helps psychological movies, but this was not the case. The script, the plot, etc were linear, had no substance, nothing in-going. When you deal with psychological, you deal with analysis, therefore with details, that unity-diversity formula....there was no essence, no detail. Just a story, there are many stories to tell, but something makes them unique and hard to forgive with the tools and creativity of movie-makers...well, this is not the one.",negative
"Ah, the spirit of '68. The streets of Paris were running wild with rebellion, the hippies were high on the spirit of love. How was Britain marking this age of radicalism and revolution? Erm, by the looks of it, dear Old Blighty was focusing on making films about boys in boarding schools. If... contains the evil establishment. It contains the uprising of the oppressed. What it lacks in contrast to the Parisien passion and the hippy headtripping is any sense of excitement, except in its all-out ammo-and-artillery fire ending.<br /><br />Lindsay Anderson's If... stars the ever-marvellous Malcolm McDowell as one of three private school pupils who decorate their dorm with photos of Lenin and other left-wing radicals. It's clearly an anti-establishment movie in its depiction of the evil upper-class oiks who rule the roost and the antiquated autocratic practices of the pish-posh public school standard. What makes If... unusual though is that for all its radical sympathies, it doesn't explicitly give us any sense of great tension between human decency and the despotic school system, instead it just kind of floats: lacking in plot and lacking in personality.<br /><br />Surrealist bits fade in and out occasionally and the film slips from black-and-white to colour again (is it due to the low budget or is it an arty expression?), but there is little of interest to speak of. All we get is the poignant denouement where the young rebels reach for their rifles and shoot down the shady overlords of the establishment. Hooray! A revolution! At last something that demands a second thought unlike the rest of this dull exercise in boarding school daydreaming.<br /><br />If... could have been a powerful political statement, but as it is it drifts and only gathers any sense of direct interest at the end. Instead of being a testament to the dissident zeitgeist of the late-Sixties, it only succeeds in being a dazed document of upper-class British education. Anarchy? Apathy more like, the only man many viewers will want to stick it to after watching If... will be Lindsay Anderson.",negative
"Okay, the recent history of Star Trek has not been good. The Next Generation faded in its last few seasons, DS9 boldly stayed where no one had stayed before, and Voyager started very bad and never really lived up to its promise. So, when they announced a new Star Trek series, I did not have high expectations. And, the first episode, Broken Bow, did have some problems. But, overall it was solid Trek material and a good romp.<br /><br />I'll get the nits out of the way first. The opening theme is dull and I don't look forward to sitting through it regularly, but that's what remotes are for. What was really bad was the completely gratuitous lotion rubbing scene that just about drove my wife out of the room. They need to cut that nonsense out.<br /><br />But, the plot was strong and moved along well. The characters, though still new, seem to be well rounded and not always what you would expect. The Vulcans are clearly being presented very differently than before, with a slightly ominous theme. I particularly liked the linguist, who is the first Star Trek character to not be able to stand proud in the face of death, but rather has to deal with her phobias and fears. They seemed to stay true to Trek lore, something that has been a significant problem in past series, though they have plenty of time to bring us things like shooting through shields, the instant invention of technology that can fix anything, and the inevitable plethora of time-travel stories. Anyone want to start a pool on how long before the Borg show up?<br /><br />All in all, the series has enormous potential. They are seeing the universe with fresh eyes. We have the chance to learn how things got the way they were in the later series. How did the Klingons go from just insulting to war? How did we meet the Romulans? How did the Federation form and just who put Earth in charge. Why is the prime directive so important? If they address these things rather than spitting out time travel episodes, this will be an interesting series.<br /><br />My favorite line: Zephram Cochran saying ""where no man has gone before"" (not ""no one"")",positive
"I'm sorry but i don't understand how the studio get's away with this. The movie is just not worth it. Maybe as a theater-play but certainly not as a movie! And why do they call it a thriller??? Offcource the acting is good but i did'n't expect anything less from these perfect actors. Robert Redford plays very well and Willem Dafoe is convincing enough as the softy ""bad guy"". Helen Mirren can play almost any role and always (still) looks beautiful to me ;). I'm also a fan of her British detectives. Still they just can't save this ow so boring movie, i'm sorry. I hope we don't get to many movies anymore from this director ""Pieter Jan Brugge"" cause he obviously doesn't now the meaning of the words ""suspence and thriller"".",negative
"""Darkness"" was entertaining to some degree, but it never seemed to have a plot, lacking one more so than other films that have been accused of this detriment; i.e. ""Bad Taste"". It started off really good, with a man running from something. It was very creepy for these first few minutes, but after a time the film just became entertaining on the level of gore, which was hard to make out at some points due to poor lighting and horrible recording quality anyway. The film was hard to believe because of the juvenile acting, which most of the time, seemed like some friends talking to a video camera, making lines up as they went. That, with a lack of any plot whatsoever, made it look like the film was started without, and ended without, a script of any kind. As said before, gore was this film's only drawing point, which much of the time was hard to make out.",negative
"This review applies for the cut of the film that's generally available as ""Fury of the Wolfman"". I understand there is an uncut version out there with additional footage, and I would hope that it contained at least eight or nine crucial scenes that seem to be missing from the cut known as ""Fury of the Wolfman"". In short, the movie makes absolutely no sense whatsoever. It is utter nonsense, and incomprehensible nonsense at that.<br /><br />Waldemar Daninsky, that venerable lycanthropic antihero portrayed by Paul Naschy in a seemingly endless series of films, is apparently a normal guy who has just come back from a trip to Tibet, where he was attacked by a yeti. Somehow this has turned him into a werewolf. Daninsky is a doctor, a scientist, and an instructor at what appears to be a college. One of his female colleagues, Ilona Elmann, is involved in a vague form of hypnosis...""Chematodes"", a nonsense word used to refer to a bunch of wires attached to a victim's head. Ellman feels this will enable her to ""change the direction of the human brain"", naturally enabling her to rule the world, provided she can get us all attached to those wires with no trouble.<br /><br />Elmann is also into werewolves, because she kidnaps Daninsky and takes him to her hidden laboratory. She has a bunch of other people trapped there as well. Some of them look like gypsies, and are chained up, being in varying states of lucidity. Others are clearly hippies. Elmann feels that one day she may be able to ""help them be human again"" (?), but in the meantime she controls them with her chematodes. Waldemar becomes her hairy hit man, wandering around like a werewolf zombie--that is until the filmmakers decide to use footage spliced in from another Naschy werewolf film, ""Frankenstein's Bloody Terror"" (don't ask), at which point Naschy's werewolf makeup changes considerably and he lurches around like an animal.<br /><br />Is this making any sense? No? Good. That's the film's saving grace. It doesn't try and engage you on any kind of intellectual level, it just goes full speed ahead with whatever nonsense dialogue or cheap horror movie sets it can muster up. ""Fury of the Wolfman"" may be the best Halloween party movie ever. You absolutely do not need to pay attention to it, and in fact if you do, you will be completely confused.",negative
"OMG this is one of the worst films iv ever seen and iv seen a lot I'm a Film student. I don't understand why Angelina Jolie would be in this movie? Did she need the money that badly? I love AJ and have seen almost everything shes ever been in so i watched this 2 tick another one off. It was SOO bad! not even good bad, just bad bad. It had 1 or 2 funny little moments but all in all it was bad n a waste of 101 minutes. I cant even say AJ looked good in it because well she didn't. The plot is predictable unless you r expecting a re-telling of Romeo and Juliet then its not. All round disappointing. Maybe if your 12 this could be a good film otherwise I really don't recommend it.",negative
"Why is it that Canada can turn out decent to good movies in every genre, other then action? I caught Dragon Hunt on TV the other day and it was like a train wreck. I just could not change the channel, it's sheer stupidity sapped my willpower. Its pretty telling that the cast IMDb ""credits"" with this monstrosity apparently never worked again.<br /><br />Bad acting, bad writing, bad narration, bad music, bad hair, bad cinematography. It just goes on and on. The movie really has nothing to recommend it. If you're looking for bad action films to enjoy by laughing out, there are a tonne of other films that won't require you to scorch out your retinas afterwards.<br /><br />I hope this film didn't get money from the government for financing, otherwise I'm never paying taxes again.",negative
"I saw the film at the Brooklyn International Film Festival (World Premiere).<br /><br />A haunting, intimate portrait of Loneliness, and the repercussions of letting it grow and turn into something darker.<br /><br />The acting of the two leads (Jessica Bohl & Richard Brundage) is excellent, and makes one wish you had met these characters before they became so damaged.<br /><br />Reminded me in theme of the works of Atom Egoyan (Exotica) and Raymond Carver (Where I'm Calling From).<br /><br />The Soundtrack (Tywanna Jo Baskette, Crooked Fingers) is excellent and reinforces moments in the film without drawing attention to itself.<br /><br />Highly recommend the Film and the Soundtrack.",positive
"I couldn't believe the comments made about the movie.<br /><br />As I read the awful opinions about the movie I actually wondered if you had actually viewed the same movie that I did.<br /><br />What I viewed was incredible! I think the actresses and director did a fantastic job in the movie.<br /><br />I hadn't had the pleasure to see either actress previously and I couldn't have been more set back by the incredible job that they did I'd have to say its the most believable movie that I've seen in a long time. <br /><br />What I don't see is why everyone has such a problem with Deanna's choice of drug in the attempt of suicide scene, from the comments made you sound like it was the actresses choice and her stupid choice. That I don't understand, its a movie written by someone else and directed by someone else so how it can be the actresses error I fail to see. I think it was a real believable movie that I would see again and recommend. Opinions are what the are and its too bad that so many are so close minded. I hope to see any of the actors soon I think that all played great roles.<br /><br />Busy Philipps will be the highest paid actress someday and I hope she can laugh in the face of everyone that criticized her! You Go Girl!",positive
"This is the worst sequel on the face of the world of movies. Once again it doesn't make since. The killer still kills for fun. But this time he is killing people that are making a movie about what happened in the first movie. Which means that it is the stupidest movie ever.<br /><br />Don't watch this. If you value the one precious hour during this movie then don't watch it. You'll want to ask the director and the person beside you what made him make it. Because it just doesn't combine the original makes of horror, action, and crime.<br /><br />Don't let your children watch this. Teenager, young child or young adult, this movie has that sorta impact upon people.",negative
"After waking up at 3:30 in the morning and not being able to go to sleep, I decided that I may as well be entertained while I suffered from sleep deprivation. This movie was on HBO and I decided to watch it. What a mistake!<br /><br />Here is the plot (potential spoilers, if you even care) : a neurotic man with an addiction to candy (Josh Kornbluth) works as a temp for some ridiculous company. Suddenly, he is offered the chance to ""go perm,"" which seems to be the favorite catch-phrase of this movie. But with a secure job and a secure income within his grasp, Josh decides for whatever stupid reason that he doesn't want to do it. He hopelessly bungles several minor tasks and his laziness and lack of ambition fill me with contempt. His inability to send several ""very important"" letters within a given amount of time is supposed to be hilarious, but is merely stupid. Josh meets and deceives a lawyer woman and they wind up in bed together (obviously a fantasy of Josh's in real life, as such a thing would never happen). A bunch of other stuff happens, but it's too trite and inane to go into now.<br /><br />Despite the fact that this movie is billed as a comedy, I only laughed twice during it; the first time was the opening shot of Josh Kornbluth (my initial reaction was one of stifling fear) and the second was when he was in bed with the attractive woman (yeah, right). Josh Kornbluth is perhaps the most terrifying-looking person I have ever seen in my life. He is an unattractive, overweight, balding Jewish man who I am supposed to believe has sex with beautiful women. I do not at all sympathize with Josh's character. He is lazy and unmotivated and I just don't appreciate the failed attempts at humor. Skip it, even if your life depends upon it.",negative
"The message of a world on the brink of war is disregarded by the masses; the mythical city of Everytown in 1940 represents England in general, but it could just as well stand for any nation of the world. When war finally does arrive, it's ravages continue not for another five years, but until 1966 at which time Everytown is completely destroyed. Adding to the desolation and toll on humanity is the ""wandering sickness"", a pestilence that continues for another four years.<br /><br />""Things to Come"" balances both a fatalistic and futuristic world view, where science holds out a hope for a revived civilization. The ""Wings Over the World"" concept plays out a bit corny, though it's spokesman Cabal (Raymond Massey) is unwavering in his mission and dedicated to his cause. If he fails, others will follow. This message is continually reinforced throughout the film, brought home convincingly in Massey's end of movie speech. Man's insatiable need to test the limits of knowledge and achievement requires an ""all the universe or nothing"" mindset.<br /><br />The film's imagery of automation and machinery in the second half is reminiscent of the great silent film ""Metropolis"". As Everytown is rebuilt and transformed by the year 2036, the spectacle of the city's rebirth strikes a resonant chord, as architecture of modern cities of today suggest the movie's eerily prophetic vision is coming to fruition. Where the movie gets it wrong by sixty seven years though is man's first mission to the moon, but in 1936, a hundred year timetable probably seemed more legitimate than 1969.<br /><br />""Things to Come"" is one of those rarities in film, a picture that makes you think. Which side will you come down on, the forces for advancement in the face of uncertainty or maintain the status quo? It's not a comfortable question, as both choices offer inherent dangers and unknowable outcomes. Those who choose to be bystanders risk being swept away by forces beyond their control.",positive
"Without doubt the best of the novels of John Le Carre, exquisitely transformed into a classic film. Performances by Peter Egan (Magnus Pym, The Perfect Spy), Rudiger Weigang (Axel, real name Alexander Hampel, Magnus' Czech Intelligence controller), Ray McAnally (Magnus' con-man father) and Alan Howard (Jack Brotherhood, Magnus' mentor, believer and British controller), together with the rest of the characters, are so perfect and natural, the person responsible for casting them should have been given an award. Even the small parts, such as Major Membury, are performed to perfection. It says a lot for the power of the performances, and the strength of the characters in the novel that, despite the duplicity of Magnus, one cannot help but feel closer to Magnus and Axel than to Jack Brotherhood and the slimy Grant Lederer of U.S. Intelligence. I have read the book at least a dozen times, and watched the movie almost as many times, and continue to be mesmerized by both. If I had one book to take on a desert island, A Perfect Spy would be the choice above all others.",positive
"There is a difference between a ""film,"" and a ""movie."" A film, regardless of quality, is ready for public consumption. A movie is what a group of friends gets together to make over the course of a weekend with a camcorder. In my time as a viewer, I have seen may examples of both.<br /><br />On September 19, I attended a screening of writer/director Jon Satejowski's ""Donnybrook."" Now having read the script and having seen two different cuts (a rough cut and the ""finished"" product) of this piece, I can safely say it is a movie. And a student movie, at that. It is, for lack of a better word, competent, which is to say, the director knew how to push record on a camera and capture moving images. The visuals are, for the most part, static and unimpressive, and dialog scenes are reduced to mostly long shots, with little to no close up shots to allow the audience to establish a relationship with the characters. I understand that this is a modestly budgeted film, but some visual flair would have been appreciated, and it would have gone a long way toward keeping the audience interested.<br /><br />Granted, there have been independent pictures that have shown that limited camera work can be over come with well a well written, engrossing story and some sharp dialog. Steven Soderbergh's ""sex, lies, and videotape"" comes immediately to mind. This movie, however, has neither. The main story is weak and unfocused. If the main plot is Davie trying to mend his relationship with his father, then I feel this movie misses the point. What I got out of it is that Davie's main aspiration is to ""change the face of rock 'n' roll."" However, we see very little activity on his part to show this. While there is one dream sequence at the beginning, and an impromptu performance of his at the end, all we seem to get are scenes of Davie listening to music or casually strumming a guitar. We are simply told that Davie has played a lot of gigs, but we never see him in full rock out mode. Next time, SHOW don't TELL the audience. Anyone who has taken a creative writing class knows this. Also, Davie doesn't look like someone that would have been big in the glam rock era of the 1970's; he looks like he'd be more comfortable in the early days of rock 'n' roll, posing as James Dean's less talented brother. In the meantime, the rest of the movies events seem to happen at random to rather cliché characters, and story threads, that have little or nothing to do with the slim main story, are brought up and abandoned with alarming frequency (i.e. the subplot involving Terry's father). If I want to see a film with this kind of haphazard construction, I will consider watching ""Napolean Dynamite"" again, a film I could barely make it through the first time.<br /><br />As for the above mentioned dialog scenes, I guess I should mention that they are few and extremely far between. Is it too much to ask for characters who do speak? I don't think it is. When the characters do speak, it is in short, choppy sentences; collections of oh so insightful questions, angered grunts or wildly over-the-top outbursts. These characters simply do not behave like normal, rational people. Working with material like this, it is easy to understand why there is only one good performance in the film, Al Hudson's, and that's just because he's doing a poor imitation of Sam Elliott for his time on screen. A good director, or at least one who is ready for the challenge of a feature director, would have been able to spot these problems and get the writer and camera people to correct them. However, with Satejowski being so close to the material, he simply doesn't see them, or, if he does, he is unwilling to take the necessary steps to fix them because it'll hurt his creative vision. Being unable or unwilling to deal with criticism in a constructive manner, is the mark of a self-indulgent, misguided fool. Just ask Rob Schneider. <br /><br />In the end, we are left with a poor, high-school-set, knock-off of Zach Braff's amazing ""Garden State"" combined with the equally amazing ""Velvet Goldmine,"" two films far more worthy of your time.<br /><br />Now before any of the cast or crew come out of the word work to take me to task for this review, allow me to offer this. The best I can do is compliment Mr. Satejowski for having the ambition to make a film of his own and to put it out there for an audience to see. However, the hopes that this movie will be picked up and distributed are simply deluded visions of grandeur. This is a student movie, nothing more, nothing less. If the movie holds any promise (and let's face it, at this point, it isn't going to come from the acting, writing, or directing), it is this: If, IF, the people associated with this film are willing, then, please, learn from this movie, file it away, and use the lessons learned on your next attempt; don't attack your critics, or have friend or family do it for you. If you are able to do this, maybe the next one will be worthy of distribution, worthy of being called a ""film.""<br /><br />I am your audience, and I am willing to watch.",negative
"I recently saw this film at a 3-D film festival in Hollywood. It was in polarized 3-D (Gray glasses not red & blue) It was so much fun to watch this film with an audience, the print was excellent and the 3-D perfect. The performances were over the top and that added to the fun, the surprise ending (that we aren't supposed to share with fellow movie go'ers, at least according to the movie trailer and poster) had people howling with laughter. By today's standards this is probably more comedy than horror but with the added dimension of 3-D (complete with cobwebs and bats coming out of the screen) this film was an entertaining romp into 50's horror.",positive
"I remember seeing this film in my late teens or early twenties on TV - probably HBO. I watched it with my parents, a brother and a few friends. Since that was about 30 years ago, I don't remember a lot of the story. I do remember that the entire group of us watching agreed that this was the funniest movie we had ever seen. When it was over, our bellies hurt from so much laughing. My dad worked at a hospital, so that made it all the better.<br /><br />Every time I see The Party in the TV listings, I look to see if this one is there, too. To my dismay, it never is. Although I loved The Party, I feel this one is funnier. Peter Sellers was great as a crooked hospital administrator. Why it's never been released on video is a mystery to me. It's a classic, but it appears that nobody under 35 or 40 has been allowed to see it. I'd buy it in a second if they ever release it to DVD.",positive
